model_path,model_id,revision,param_name,layer_index,block_type,shape,rows,cols,design_rank,actual_rank,rank_ratio,svd_90_percent_rank,svd_90_percent_ratio,mean,std,var,min,max,sparsity,dtype,created_at
data/models,Qwen/Qwen3-4B,,model.layers.1.self_attn.k_proj.weight,1,k_proj,"(1024, 2560)",1024,2560,1024,1024,1.0,565,0.5517578125,3.8988191590760835e-06,0.022514784708619118,0.000506915501318872,-0.2314453125,0.2109375,0.0,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.1.self_attn.o_proj.weight,1,o_proj,"(2560, 4096)",2560,4096,2560,2560,1.0,1296,0.50625,-2.5439708224439528e-06,0.021981531754136086,0.00048318770132027566,-0.408203125,0.408203125,3.814697265625e-07,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.1.self_attn.q_norm.weight,1,norm,"(128,)",1,128,1,1,1.0,1,1.0,1.5717849731445312,0.49811702966690063,0.24812056124210358,0.048828125,4.3125,0.0,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.1.self_attn.q_proj.weight,1,q_proj,"(4096, 2560)",4096,2560,2560,2560,1.0,1192,0.465625,-8.045125241551432e-07,0.021608205512166023,0.0004669145564548671,-0.37890625,0.390625,1.9073486328125e-07,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.1.self_attn.v_proj.weight,1,v_proj,"(1024, 2560)",1024,2560,1024,1024,1.0,611,0.5966796875,3.5050311453233007e-06,0.023323316127061844,0.0005439770757220685,-0.150390625,0.15234375,7.62939453125e-07,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.10.input_layernorm.weight,10,norm,"(2560,)",1,2560,1,1,1.0,1,1.0,0.4145700931549072,0.10050986707210541,0.010102232918143272,-0.00994873046875,1.5546875,0.0,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.10.mlp.down_proj.weight,10,other,"(2560, 9728)",2560,9728,2560,2560,1.0,1842,0.71953125,9.481122106080875e-06,0.022324245423078537,0.0004983718972653151,-1.015625,0.671875,2.8108295641447366e-07,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.10.mlp.gate_proj.weight,10,other,"(9728, 2560)",9728,2560,2560,2560,1.0,1777,0.694140625,3.0060526114539243e-05,0.026915380731225014,0.0007244377047754824,-0.75390625,0.56640625,4.0154708059210524e-07,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.10.mlp.up_proj.weight,10,other,"(9728, 2560)",9728,2560,2560,2560,1.0,1897,0.741015625,6.1507494137913454e-06,0.022399703040719032,0.0005017466610297561,-0.52734375,0.88671875,2.4092824835526317e-07,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.10.post_attention_layernorm.weight,10,norm,"(2560,)",1,2560,1,1,1.0,1,1.0,0.5985934138298035,0.16366475820541382,0.02678615413606167,7.581710815429688e-05,0.9140625,0.0,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.10.self_attn.k_norm.weight,10,norm,"(128,)",1,128,1,1,1.0,1,1.0,1.578075647354126,0.9597919583320618,0.9212006330490112,-0.000423431396484375,9.375,0.0,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.10.self_attn.k_proj.weight,10,k_proj,"(1024, 2560)",1024,2560,1024,1024,1.0,588,0.57421875,1.0345027476432733e-05,0.023041879758238792,0.0005309282569214702,-0.306640625,0.5,7.62939453125e-07,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.10.self_attn.o_proj.weight,10,o_proj,"(2560, 4096)",2560,4096,2560,2560,1.0,1303,0.508984375,-2.985015726153506e-06,0.02354198694229126,0.0005542251165024936,-0.5546875,0.44921875,5.7220458984375e-07,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.10.self_attn.q_norm.weight,10,norm,"(128,)",1,128,1,1,1.0,1,1.0,1.4770441055297852,0.5722211003303528,0.32743698358535767,0.0072021484375,3.90625,0.0,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.10.self_attn.q_proj.weight,10,q_proj,"(4096, 2560)",4096,2560,2560,2560,1.0,1291,0.504296875,-8.225133569794707e-07,0.023035643622279167,0.0005306408856995404,-0.30859375,0.314453125,5.7220458984375e-07,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.10.self_attn.v_proj.weight,10,v_proj,"(1024, 2560)",1024,2560,1024,1024,1.0,701,0.6845703125,-1.7101153844123473e-06,0.026084283366799355,0.0006803898140788078,-0.197265625,0.1845703125,0.0,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.11.input_layernorm.weight,11,norm,"(2560,)",1,2560,1,1,1.0,1,1.0,0.2984451651573181,0.06293275207281113,0.0039605312049388885,-0.0047607421875,0.94140625,0.0,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.11.mlp.down_proj.weight,11,other,"(2560, 9728)",2560,9728,2560,2560,1.0,1812,0.7078125,-2.4785952064121375e-06,0.022831425070762634,0.0005212739924900234,-0.890625,0.48828125,4.818564967105263e-07,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.11.mlp.gate_proj.weight,11,other,"(9728, 2560)",9728,2560,2560,2560,1.0,1785,0.697265625,4.887889735982753e-05,0.026063859462738037,0.0006793247885070741,-0.546875,0.65234375,5.220112047697369e-07,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.11.mlp.up_proj.weight,11,other,"(9728, 2560)",9728,2560,2560,2560,1.0,1869,0.730078125,-5.4015808927943e-06,0.02305939607322216,0.0005317357135936618,-0.62109375,0.52734375,5.621659128289473e-07,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.11.post_attention_layernorm.weight,11,norm,"(2560,)",1,2560,1,1,1.0,1,1.0,0.5988960266113281,0.17053811252117157,0.0290832482278347,-0.04638671875,1.015625,0.0,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.11.self_attn.k_norm.weight,11,norm,"(128,)",1,128,1,1,1.0,1,1.0,1.7546073198318481,0.9067623019218445,0.8222178816795349,-0.001434326171875,7.0625,0.0,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.11.self_attn.k_proj.weight,11,k_proj,"(1024, 2560)",1024,2560,1024,1024,1.0,572,0.55859375,3.6182002531859325e-06,0.02334076352417469,0.0005447912262752652,-0.375,0.32421875,3.814697265625e-07,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.11.self_attn.o_proj.weight,11,o_proj,"(2560, 4096)",2560,4096,2560,2560,1.0,1349,0.526953125,-9.676379022494075e-07,0.02327009290456772,0.0005414972547441721,-0.50390625,0.74609375,1.9073486328125e-07,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.11.self_attn.q_norm.weight,11,norm,"(128,)",1,128,1,1,1.0,1,1.0,1.6974215507507324,0.5433033108711243,0.29517850279808044,0.01507568359375,4.6875,0.0,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.11.self_attn.q_proj.weight,11,q_proj,"(4096, 2560)",4096,2560,2560,2560,1.0,1276,0.4984375,-1.0431871487526223e-05,0.02297799661755562,0.0005279883625917137,-0.365234375,0.33203125,5.7220458984375e-07,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.11.self_attn.v_proj.weight,11,v_proj,"(1024, 2560)",1024,2560,1024,1024,1.0,666,0.650390625,-1.9220644844608614e-06,0.02634650096297264,0.0006941381143406034,-0.1533203125,0.1884765625,3.814697265625e-07,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.12.input_layernorm.weight,12,norm,"(2560,)",1,2560,1,1,1.0,1,1.0,0.31985148787498474,0.08171390742063522,0.006677162833511829,0.06591796875,1.0625,0.0,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.12.mlp.down_proj.weight,12,other,"(2560, 9728)",2560,9728,2560,2560,1.0,1799,0.702734375,-4.224616986903129e-06,0.02309136465191841,0.0005332111031748354,-0.75,0.96875,2.4092824835526317e-07,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.12.mlp.gate_proj.weight,12,other,"(9728, 2560)",9728,2560,2560,2560,1.0,1788,0.6984375,1.7883439795696177e-05,0.02539191022515297,0.0006447491468861699,-0.66796875,0.63671875,3.6139237253289475e-07,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.12.mlp.up_proj.weight,12,other,"(9728, 2560)",9728,2560,2560,2560,1.0,1852,0.7234375,-7.15304713594378e-06,0.023546557873487473,0.0005544404266402125,-0.625,0.5703125,3.212376644736842e-07,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.12.post_attention_layernorm.weight,12,norm,"(2560,)",1,2560,1,1,1.0,1,1.0,0.5894670486450195,0.16768676042556763,0.02811884880065918,-0.35546875,1.046875,0.0,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.12.self_attn.k_norm.weight,12,norm,"(128,)",1,128,1,1,1.0,1,1.0,1.6771974563598633,0.751564085483551,0.5648486018180847,-0.00665283203125,5.78125,0.0,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.12.self_attn.k_proj.weight,12,k_proj,"(1024, 2560)",1024,2560,1024,1024,1.0,556,0.54296875,1.541259166515374e-06,0.022962817922234535,0.0005272909766063094,-0.4921875,0.46484375,0.0,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.12.self_attn.o_proj.weight,12,o_proj,"(2560, 4096)",2560,4096,2560,2560,1.0,1322,0.51640625,5.3733606364403386e-06,0.023052964359521866,0.0005314391455613077,-0.75390625,0.65625,2.86102294921875e-07,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.12.self_attn.q_norm.weight,12,norm,"(128,)",1,128,1,1,1.0,1,1.0,1.608548641204834,0.5182532072067261,0.2685863673686981,-0.01495361328125,4.71875,0.0,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.12.self_attn.q_proj.weight,12,q_proj,"(4096, 2560)",4096,2560,2560,2560,1.0,1259,0.491796875,-8.814775469545566e-07,0.023208672180771828,0.0005386424600146711,-0.30859375,0.3203125,2.86102294921875e-07,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.12.self_attn.v_proj.weight,12,v_proj,"(1024, 2560)",1024,2560,1024,1024,1.0,657,0.6416015625,-3.774918877752498e-05,0.026098821312189102,0.000681148492731154,-0.21484375,0.2080078125,7.62939453125e-07,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.13.input_layernorm.weight,13,norm,"(2560,)",1,2560,1,1,1.0,1,1.0,0.28373289108276367,0.08811680227518082,0.007764570415019989,0.049560546875,0.8984375,0.0,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.13.mlp.down_proj.weight,13,other,"(2560, 9728)",2560,9728,2560,2560,1.0,1813,0.708203125,-2.161846168746706e-06,0.02322794310748577,0.0005395373445935547,-0.96484375,0.78125,4.417017886513158e-07,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.13.mlp.gate_proj.weight,13,other,"(9728, 2560)",9728,2560,2560,2560,1.0,1796,0.7015625,4.1731236706255004e-05,0.02453823760151863,0.0006021251319907606,-0.486328125,0.462890625,2.4092824835526317e-07,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.13.mlp.up_proj.weight,13,other,"(9728, 2560)",9728,2560,2560,2560,1.0,1863,0.727734375,2.91980131805758e-06,0.023863501846790314,0.0005694667343050241,-0.6953125,0.83203125,2.4092824835526317e-07,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.13.post_attention_layernorm.weight,13,norm,"(2560,)",1,2560,1,1,1.0,1,1.0,0.5912208557128906,0.16341736912727356,0.026705235242843628,2.5272369384765625e-05,1.2265625,0.0,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.13.self_attn.k_norm.weight,13,norm,"(128,)",1,128,1,1,1.0,1,1.0,1.6797126531600952,0.6687483191490173,0.44722431898117065,-0.03369140625,3.265625,0.0,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.13.self_attn.k_proj.weight,13,k_proj,"(1024, 2560)",1024,2560,1024,1024,1.0,512,0.5,-3.0223833164200187e-05,0.022804705426096916,0.0005200546002015471,-0.5078125,0.65234375,0.0,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.13.self_attn.o_proj.weight,13,o_proj,"(2560, 4096)",2560,4096,2560,2560,1.0,1312,0.5125,-5.474944373418111e-06,0.022522306069731712,0.0005072542699053884,-0.419921875,0.390625,5.7220458984375e-07,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.13.self_attn.q_norm.weight,13,norm,"(128,)",1,128,1,1,1.0,1,1.0,1.7466886043548584,0.4564400911331177,0.20833754539489746,-0.0123291015625,3.765625,0.0,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.13.self_attn.q_proj.weight,13,q_proj,"(4096, 2560)",4096,2560,2560,2560,1.0,1164,0.4546875,1.2665068993555906e-07,0.02310546487569809,0.0005338625051081181,-0.3359375,0.365234375,3.814697265625e-07,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.13.self_attn.v_proj.weight,13,v_proj,"(1024, 2560)",1024,2560,1024,1024,1.0,600,0.5859375,4.8845765832084e-07,0.02550424449145794,0.0006504664779640734,-0.2255859375,0.169921875,0.0,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.14.input_layernorm.weight,14,norm,"(2560,)",1,2560,1,1,1.0,1,1.0,0.3912300169467926,0.13499821722507477,0.018224520608782768,0.05126953125,1.234375,0.0,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.14.mlp.down_proj.weight,14,other,"(2560, 9728)",2560,9728,2560,2560,1.0,1817,0.709765625,-2.211601923818307e-07,0.022971831262111664,0.0005277050659060478,-1.0625,0.69140625,3.6139237253289475e-07,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.14.mlp.gate_proj.weight,14,other,"(9728, 2560)",9728,2560,2560,2560,1.0,1783,0.696484375,5.696459993487224e-05,0.02420004829764366,0.0005856423522345722,-0.5625,0.6015625,3.6139237253289475e-07,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.14.mlp.up_proj.weight,14,other,"(9728, 2560)",9728,2560,2560,2560,1.0,1859,0.726171875,3.792963980231434e-06,0.023531634360551834,0.0005537378019653261,-0.42578125,0.455078125,4.0154708059210524e-07,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.14.post_attention_layernorm.weight,14,norm,"(2560,)",1,2560,1,1,1.0,1,1.0,0.6046270132064819,0.18597997725009918,0.03458854928612709,-6.580352783203125e-05,1.390625,0.0,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.14.self_attn.k_norm.weight,14,norm,"(128,)",1,128,1,1,1.0,1,1.0,1.756522297859192,0.798741340637207,0.6379877328872681,0.000820159912109375,8.1875,0.0,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.14.self_attn.k_proj.weight,14,k_proj,"(1024, 2560)",1024,2560,1024,1024,1.0,548,0.53515625,2.5446097424719483e-06,0.022992191836237907,0.0005286408704705536,-0.37890625,0.337890625,0.0,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.14.self_attn.o_proj.weight,14,o_proj,"(2560, 4096)",2560,4096,2560,2560,1.0,1342,0.52421875,-4.055394128954504e-06,0.022222990170121193,0.0004938612692058086,-0.5078125,0.494140625,5.7220458984375e-07,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.14.self_attn.q_norm.weight,14,norm,"(128,)",1,128,1,1,1.0,1,1.0,1.657365083694458,0.39988383650779724,0.15990707278251648,0.004058837890625,3.671875,0.0,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.14.self_attn.q_proj.weight,14,q_proj,"(4096, 2560)",4096,2560,2560,2560,1.0,1241,0.484765625,1.5210472156468313e-05,0.02310221642255783,0.0005337123875506222,-0.318359375,0.328125,5.7220458984375e-07,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.14.self_attn.v_proj.weight,14,v_proj,"(1024, 2560)",1024,2560,1024,1024,1.0,662,0.646484375,-3.2217019452218665e-06,0.02485211379826069,0.0006176275201141834,-0.1552734375,0.17578125,7.62939453125e-07,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.15.mlp.gate_proj.weight,15,other,"(9728, 2560)",9728,2560,2560,2560,1.0,1768,0.690625,3.405332245165482e-05,0.023381326347589493,0.0005466864095069468,-0.6171875,0.58984375,3.212376644736842e-07,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.15.mlp.up_proj.weight,15,other,"(9728, 2560)",9728,2560,2560,2560,1.0,1835,0.716796875,-4.753419943881454e-06,0.02327006123960018,0.0005414957413449883,-0.46875,0.375,2.8108295641447366e-07,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.15.self_attn.k_norm.weight,15,norm,"(128,)",1,128,1,1,1.0,1,1.0,1.8242371082305908,0.637917160987854,0.4069382846355438,-0.04638671875,4.09375,0.0,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.15.self_attn.k_proj.weight,15,k_proj,"(1024, 2560)",1024,2560,1024,1024,1.0,517,0.5048828125,-8.639084626338445e-06,0.022875985130667686,0.0005233106785453856,-0.32421875,0.359375,0.0,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.15.self_attn.o_proj.weight,15,o_proj,"(2560, 4096)",2560,4096,2560,2560,1.0,1247,0.487109375,2.1096282125654398e-06,0.02158404514193535,0.00046587098040618,-0.3125,0.375,2.86102294921875e-07,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.15.self_attn.q_norm.weight,15,norm,"(128,)",1,128,1,1,1.0,1,1.0,1.7014780044555664,0.3933446705341339,0.15472003817558289,-0.0147705078125,2.3125,0.0,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.15.self_attn.q_proj.weight,15,q_proj,"(4096, 2560)",4096,2560,2560,2560,1.0,1086,0.42421875,-2.370926949879504e-06,0.023372666910290718,0.0005462815170176327,-0.353515625,0.34765625,4.76837158203125e-07,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.15.self_attn.v_proj.weight,15,v_proj,"(1024, 2560)",1024,2560,1024,1024,1.0,617,0.6025390625,1.806170621421188e-05,0.024608895182609558,0.0006055977428331971,-0.1650390625,0.1875,3.814697265625e-07,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.2.input_layernorm.weight,2,norm,"(2560,)",1,2560,1,1,1.0,1,1.0,0.06756720691919327,0.027023930102586746,0.0007302927551791072,-0.08837890625,0.27734375,0.0,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.2.mlp.down_proj.weight,2,other,"(2560, 9728)",2560,9728,2560,2560,1.0,1554,0.60703125,-3.432645883094665e-07,0.016537180170416832,0.00027347830473445356,-0.73046875,0.7890625,1.606188322368421e-06,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.2.mlp.gate_proj.weight,2,other,"(9728, 2560)",9728,2560,2560,2560,1.0,1441,0.562890625,-1.385646373819327e-05,0.018716774880886078,0.0003503176849335432,-0.23828125,0.310546875,3.573769017269737e-06,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.2.mlp.up_proj.weight,2,other,"(9728, 2560)",9728,2560,2560,2560,1.0,1461,0.570703125,-4.4370094656187575e-06,0.017259705811738968,0.0002978974371217191,-0.427734375,0.52734375,2.1281995271381577e-06,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.2.post_attention_layernorm.weight,2,norm,"(2560,)",1,2560,1,1,1.0,1,1.0,0.8329766392707825,0.288417786359787,0.08318481594324112,-3.8623809814453125e-05,5.53125,0.0,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.2.self_attn.k_norm.weight,2,norm,"(128,)",1,128,1,1,1.0,1,1.0,1.5724267959594727,0.748215913772583,0.5598270893096924,-0.030029296875,6.84375,0.0,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.2.self_attn.k_proj.weight,2,k_proj,"(1024, 2560)",1024,2560,1024,1024,1.0,594,0.580078125,-7.651235137018375e-06,0.023166818544268608,0.0005367014673538506,-0.416015625,0.369140625,0.0,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.2.self_attn.o_proj.weight,2,o_proj,"(2560, 4096)",2560,4096,2560,2560,1.0,1297,0.506640625,-1.7527647742099361e-06,0.022496705874800682,0.0005061018164269626,-0.57421875,0.37109375,4.76837158203125e-07,float32,2025-09-02T08:17:32.635882
data/models,Qwen/Qwen3-4B,,model.layers.2.self_attn.q_norm.weight,2,norm,"(128,)",1,128,1,1,1.0,1,1.0,1.5679912567138672,0.4403415620326996,0.1939006894826889,0.0185546875,3.4375,0.0,float32,2025-09-02T08:17:32.635882
